Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
61.03,132.17,56.25,0
44.5058,38.0848,56.25,0
56.1945,90.3028,56.25,0
55.15,94.54,56.25,0
58.26,97.09,56.25,0
62.28,89,56.25,0
53.18,57.33,56.25,0
68.3215,146.1136,56.25,0
48.45,133,56.25,0
56.06,74.38,56.25,0
51.06,138.29,56.25,0
61.07,72.26,56.25,0
61.01,130.43,56.25,0
56.1,66.28,56.25,0
51.16,106.33,56.25,0
67.27,86.32,56.25,0
58.36,68.46,56.25,0
52.1558,104.1742,56.25,0
60.58,72.26,56.25,0
70.45,136.12,56.25,0
57.42,93.17,56.25,0
62.02,118.39,56.25,0
62.39,135.34,56.25,0
55.5927,92.4736,56.25,0
55.26,65.18,56.25,0
54.3,84.1,56.25,0
59.36,65.53,56.25,0
55.18,83.37,56.25,0
55.34,71.55,56.25,0
61.39,133.12,56.25,0
61.5,133.39,56.25,0
55.24,93.39,56.25,0
56.0407,54.1339,56.25,0
57.29,67.49,56.25,0
56.57,90.41,56.25,0
55.47,96.11,56.25,0
53.0338,47.4528,56.25,0
60.28,131.06,56.25,0
63.1,144.01,56.25,0
55.3,94.24,56.25,0
62.28,65.35,56.25,0
50.1,39.32,56.25,0
53.4629,73.5137,56.25,0
60.22,93.02,56.25,0
55.43,93.45,56.25,0
62.1,117.39,56.25,0
68.22,143.38,56.25,0
62.39,132,56.25,0
59.59,119.5,56.25,0
61.18,128.16,56.25,0
59.1,135.1,56.25,0
66.21,150.31,56.25,0
49.05,140.15,56.25,0
62,76.44,56.25,0
61.06,126.22,56.25,0
60.53,73.41,56.25,0
70.08,113.59,56.25,0
55.0959,59.4003,65.746,40
55.4928,49.0149,65.75,630
53.2521,49.2638,65.75,460
47.1249,39.4042,65.75,310
44.065,39.0428,65.75,180
54.1112,45.085,65.75,30
66.34,67.48,65.75,0
56.5825,61.2722,65.75,0
59.39,149.06,65.75,0
65.54,132.42,65.75,0
51.2958,104.0849,65.75,0
41.57,46.33,65.75,0
49.5926,40.3729,65.75,0
56.18,101.43,65.75,0
55.19,76.45,65.75,0
42.0142,48.1459,65.75,0
54.35,33.11,65.75,0
61.55,159.14,65.75,0
52.07,56.53,65.75,0
58.0822,52.3915,65.75,0
62.48,130.45,65.75,0
62.13,66.58,65.75,0
61.59,131.54,65.75,0
57.34,96.54,65.75,0
57.38,92.16,65.75,0
51.3258,45.5748,65.75,0
55.37,73.3,65.75,0
55.42,90.26,65.75,0
61.08,152.23,65.75,0
55.55,98.04,65.75,0
58.1244,68.1555,65.75,0
61.4,132.05,65.75,0
60.11,69.42,65.75,0
55.52,72.12,65.75,0
62.38,133.36,65.75,0
60.01,64.46,65.75,0
52.2,143.04,65.75,0
62.35,128.52,65.75,0
51.4528,36.0741,65.76,0
59.59,30.19,65.9,17000
54.3532,22.0049,65.9,17000
55.0923,37.2559,65.9,400
57.26,56.57,65.9,400
61.06,80.16,65.9,400
61.58,76.38,65.9,400
55.0255,60.0822,65.9,200
55.01,32.39,65.9,170
62.05,54.22,65.9,100
50.5,105.45,65.9,0
54.17,114.18,65.9,0
54.21,113.16,65.9,0
59.2255,28.3444,65.93,17000
56.37,84.5,65.93,4000
56.5947,63.4428,65.93,300
55.17,85.37,65.93,0
55.3324,39.3455,65.96,17000
47.14,39.42,65.96,3000
54.01,55.53,65.96,1200
54.36,53.42,65.96,1200
58.49,65.58,65.96,300
61.55,63.01,65.96,100
46.2137,48.0302,66.02,17000
53.1315,34.1915,66.02,17000
54.4341,20.2938,66.02,17000
55.4928,49.0149,66.02,17000
68.5656,33.0705,66.02,17000
58.01,56.14,66.02,17000
51.4618,55.0657,66.02,6920
55.4653,37.2922,66.02,4360
50.1846,38.1102,66.02,4000
48.33,134.46,66.02,1500
53.18,57.33,66.02,1000
52.4,90.04,66.02,300
52.15,87.07,66.02,300
58,102.37,66.02,300
60.23,77.47,66.02,200
43.0243,44.1448,66.02,100
59.11,80.23,66.02,10
57.4842,28.164,66.05,17000
57.3137,62.4547,66.05,17000
49.592,88.392,66.05,250
64.47,70.56,66.05,0
62.25,60.52,66.05,0
50.5,142.36,66.08,20000
64.3246,40.3055,66.08,17000
55.2945,58.1831,66.08,17000
60.3524,69.0224,66.08,8000
53.19,83.47,66.08,5000
59.03,60.36,66.08,100
60.15,90.13,66.08,100
54.19,110.19,66.08,0
42.59,43.46,66.08,0
56.03,69.3,66.11,5623
56.5748,40.5756,66.11,2000
53.4144,91.3207,66.11,1000
49.05,140.15,66.11,300
55.42,84.51,66.11,200
73.3025,80.3204,66.13,400
69.24,86.11,66.13,400
59.373,33.2522,66.14,17000
55.2029,86.0843,66.14,4000
57.1154,50.0357,66.14,400
56.33,84.05,66.14,300
52.15,117.32,66.14,100
54.3,134.25,66.14,100
51.1603,108.5211,66.14,50
54.52,81.24,66.14,4
52.12,55.35,66.17,500
50.4733,36.305,66.17,126
55.3156,44.1257,66.17,100
54.45,56.01,66.17,0
53.42,87.06,66.2,17000
64.0247,44.014,66.2,17000
61.13,73.22,66.2,17000
45.2831,40.0644,66.2,17000
57.5747,38.2118,66.2,12000
58.3725,27.5651,66.2,4800
59.24,56.15,66.2,4000
67.39,53.03,66.2,400
57.51,114.11,66.2,120
58.5816,47.0206,66.2,100
52.37,48.58,66.2,100
59.39,67.25,66.2,100
51.392,103.4142,66.2,70
44.43,38.2,66.2,3
56.4039,59.17,66.23,17000
60.4314,28.4618,66.23,17000
54.3118,36.1538,66.23,16600
55.4427,52.245,66.23,4000
51.42,39.15,66.23,4000
43.03,44.45,66.23,300
50.55,128.29,66.26,20000
56.0954,88.2032,66.26,17000
53.2314,55.5226,66.26,17000
56.071,47.16,66.26,3160
52.4815,51.0948,66.26,2000
56.13,57.59,66.26,100
54.3,84.15,66.26,3
54.54,79.19,66.26,3
63.54,34.19,66.29,17000
49.1054,40.404,66.29,4000
52.32,85.17,66.29,3000
58.27,61.42,66.29,120
55.39,109.19,66.29,100
52.5,79.52,66.29,0
42.5105,44.3807,66.29,0
59.5929,30.0739,66.3,40000
48.45,132.53,66.32,17000
53.1,103.05,66.32,17000
44.3503,40.0638,66.32,17000
52.02,113.33,66.32,6000
56.55,55.34,66.32,4000
45.47,47.13,66.32,2000
55.3325,41.5941,66.32,1000
50.05,132.15,66.32,1000
61.57,52.19,66.32,400
54.3336,42.2749,66.32,300
49.02,131.04,66.32,150
55.23,91.36,66.32,100
61.41,64.29,66.32,100
57.43,60.39,66.32,100
56.12,78.4,66.32,3
63.12,59.44,66.32,0
54.4651,32.023,66.35,17000
53.55,40.02,66.35,1000
56.1236,51.0526,66.35,1000
55.41,76.44,66.35,500
55.05,80.56,66.35,300
64.44,57.52,66.35,100
55.14,84.35,66.35,3
54.3,84.36,66.35,3
62.06,77.34,66.35,0
59.0734,37.5323,66.38,17000
61.4617,48.2822,66.38,17000
57.5404,34.0237,66.38,2000
54.51,83.57,66.38,3
61.29,68.15,66.38,0
53.1315,34.1915,66.4,1000
52.2704,37.3008,66.41,17000
44.4856,37.3929,66.41,17000
47.06,39.26,66.41,4000
55.49,68.19,66.41,4000
62.4314,40.1734,66.41,3000
55.05,60.1,66.41,2000
44.02,43.08,66.41,800
59.01,54.39,66.41,600
44.372,39.0933,66.41,300
57.22,58.58,66.41,300
51.5317,50.1021,66.44,17000
63.33,53.46,66.44,17000
55.4911,37.3642,66.44,15000
56.26,85.02,66.44,800
63.43,66.4,66.44,300
57.28,58.09,66.44,300
57.1041,46.3325,66.44,300
58.11,94.46,66.44,200
51.2,119.33,66.44,150
58.41,99.11,66.44,120
57.38,92.16,66.44,120
55.0832,75.2457,66.44,4
55.49,79.25,66.44,3
46.37,143.08,66.44,3
58.18,57.48,66.47,4000
58.3537,49.4123,66.47,4000
56.0407,54.1339,66.47,600
51.37,83.27,66.47,0
54.55,71.18,66.5,17000
55.26,65.18,66.5,400
57.51,61.46,66.5,300
55.01,89.5,66.5,300
56.21,78.23,66.5,300
44.4652,41.2748,66.5,300
55.43,93.45,66.5,200
51.44,140.11,66.5,100
56.02,76.01,66.5,3
61.1515,75.102,66.5,0
65.48,74.27,66.5,0
56.55,32.45,66.5,0
52.4014,39.2859,66.53,17000
51.43,107.31,66.53,4000
53.38,54.49,66.53,3000
53.2023,58.2947,66.53,1000
54.4509,42.4207,66.53,300
50.22,108.45,66.53,50
54.31,76.51,66.53,3
43.1024,44.1622,66.53,0
56.04,56.37,66.53,0
53.19,82.59,66.53,0
51.39,117.33,66.53,0
55.0208,32.2252,66.56,63000
56.31,104.14,66.56,17000
55.2029,86.0843,66.56,4000
58.04,97.19,66.56,200
59.2255,28.3444,66.59,17000
50.59,81.3,66.59,300
51.31,82.08,66.59,300
53,78.4,66.59,300
52.503,34.3005,66.59,200
50.51,82.09,66.59,100
66.27,73.52,66.59,100
55.24,81.19,66.59,4
52.4413,52.1559,66.62,17000
56.4936,60.3722,66.62,4000
54.08,37.35,66.62,1259
57.15,107.2,66.62,300
55.34,75.42,66.62,300
44.4208,37.3501,66.62,250
43.4456,43.0738,66.62,160
43.1531,42.3854,66.62,160
43.2124,43.5628,66.62,20
43.1255,43.1715,66.62,20
43.2952,43.1744,66.62,20
53.024,60.4013,66.65,17000
57.26,56.57,66.65,17000
55.4805,42.4622,66.65,100
55,80.41,66.65,4
55.31,83.3,66.65,3
61.44,75.36,66.65,0
51.35,84.39,66.65,0
53.44,127.5,66.68,20000
56.43,124.34,66.68,17000
46.2204,45.5922,66.68,17000
54.1112,45.085,66.68,15850
56.53,68.4,66.68,4000
54.432,55.5529,66.68,4000
50.3416,36.3416,66.68,2000
69.1,88.2,66.68,2000
47.1424,39.4413,66.68,1000
47.03,142.03,66.68,400
53.47,82.2,66.68,300
61.17,108.01,66.68,300
62.27,66.02,66.68,100
50.22,103.17,66.68,100
50.37,104.36,66.68,0
50.41,106.11,66.68,0
42.54,43.42,66.68,0
51.43,102.02,66.68,0
50.32,104.5,66.68,0
51.28,107.25,66.68,0
51.5,108.19,66.68,0
50.28,105.06,66.68,0
53.563,51.1104,66.71,17000
56.0238,36.0617,66.71,16220
55.56,39.28,66.71,500
56.5947,63.4428,66.71,300
54.3511,100.2119,66.74,18620
54.0619,77.4024,66.74,17000
58.2309,42.2145,66.74,17000
46.0327,38.5756,66.74,17000
42.53,132.52,66.74,17000
49.47,129.4,66.74,17000
55.59,82.43,66.74,600
54.22,81.54,66.74,500
64.22,75.57,66.74,400
56.51,59.03,66.74,300
55.0911,61.2418,66.74,300
57.34,79.27,66.74,300
48.58,140.2,66.74,300
53.05,85.4,66.74,200
51.2,139.15,66.74,100
56.0341,45.4101,66.74,100
55.55,36.51,66.74,0
59.1108,36.0418,66.77,25100
45.4419,42.5346,66.77,17000
55.12,67.12,66.77,17000
59.56,30.15,66.77,5000
53.16,92.23,66.77,200
63.13,66.56,66.77,100
65.48,74.27,66.77,0
53.1315,34.1915,66.8,17000
54.4343,20.2939,66.8,17000
53.2028,43.1818,66.8,17000
61.4118,50.484,66.8,17000
58,102.37,66.8,17000
50.1846,38.1102,66.8,17000
51.215,48.1756,66.8,17000
54.04,34.18,66.8,5000
51.47,55.05,66.8,4000
58.01,56.14,66.8,4000
55.4636,48.5826,66.8,1580
57.55,60,66.8,1000
54.43,135.19,66.8,400
55.09,124.44,66.8,160
58.55,81.36,66.8,150
48.36,133.49,66.8,150
60.44,77.11,66.8,150
51.19,142.1,66.8,100
66.32,66.36,66.8,100
43.5759,42.3207,66.8,60
62.22,75.51,66.8,0
63.5,67.47,66.8,0
52.15,57.31,66.8,0
43.5924,42.0308,66.81,100
50.0214,43.1108,66.83,17000
57.3137,62.4547,66.83,14120
53.15,50.15,66.83,4000
56.2939,84.5829,66.83,4000
57.4842,28.164,66.83,1200
56.42,85.2,66.83,200
51.412,35.1717,66.83,180
49.07,136.3,66.83,0
46.3218,41.344,66.86,31600
44.1,133.15,66.86,17000
59.1928,52.1613,66.86,17000
55.2945,58.1831,66.86,17000
62.42,56.12,66.86,17000
60.3609,46.1136,66.86,17000
67.3,64,66.86,17000
46.55,142.35,66.86,15000
55.4653,37.2922,66.86,10900
53.15,83.45,66.86,5000
55.2431,43.5057,66.86,4000
54.59,73.25,66.86,4000
55.29,54.52,66.86,1000
60.5724,36.372,66.86,600
55.15,91.24,66.86,50
56.03,82.05,66.86,3
53.26,54.15,66.86,0
59.4455,60.0059,66.86,0
61.27,68.56,66.86,0
53.35,91.23,66.89,17000
56.03,69.3,66.89,17000
54.3422,52.2351,66.89,17000
55.14,63.18,66.89,17000
55.12,80.17,66.89,4000
56.31,31.38,66.89,1500
43.1202,43.5719,66.89,0
50.34,136.58,66.92,20000
52.01,127.4,66.92,20000
53.08,38.0613,66.92,17000
58.3537,49.4123,66.92,17000
51.1351,58.271,66.92,17000
65.17,57.06,66.92,17000
59.373,33.2522,66.92,17000
43.5459,39.1931,66.92,560
50.3052,35.3753,66.92,400
56.33,84.05,66.92,300
50.4,156.07,66.92,300
57.0754,43.0955,66.92,300
57.3005,60.1435,66.92,100
54.59,84.17,66.92,3
55.55,76.57,66.92,3
52.17,85.25,66.92,0
57.18,88.1,66.92,0
52.5,79.52,66.95,17000
47.4515,44.3033,66.95,17000
57.24,67.04,66.95,6000
57.24,37.34,66.95,4000
54.3,84.1,66.95,300
49.0748,46.5053,66.95,100
54.28,84.46,66.95,3
54.4028,45.3503,66.95,0
54.4651,32.023,66.96,0
56.0119,95.1224,66.98,20000
61.13,73.22,66.98,20000
45.2831,40.0644,66.98,17000
56.34,76.37,66.98,4000
52.37,48.58,66.98,2000
58.5628,46.4516,66.98,500
57.51,114.11,66.98,100
64.47,70.56,66.98,100
62.2,38.13,66.98,100
43.5934,41.5418,66.98,100
51.392,103.4142,66.98,70
,,67.01,63000
55.3917,52.3623,67.01,17000
56.4039,59.17,67.01,17000
60.4314,28.4618,67.01,17000
58.19,82.54,67.01,8000
53.2606,41.4701,67.01,400
56.16,83.58,67.01,100
55.2,77.06,67.01,3
53.07,46.36,67.01,0
54.39,88.42,67.01,0
44.2246,46.2929,67.04,20000
51.0512,39.5912,67.04,17000
56.0954,88.2032,67.04,17000
53.2314,55.5226,67.04,17000
55.4821,47.2641,67.04,17000
57.41,71.1,67.04,17000
57.0755,65.3543,67.04,4000
46.42,141.52,67.04,100
54.03,83.21,67.04,4
56.38,77.42,67.04,3
54.36,84.09,67.04,3
54.42,76.35,67.04,0
69.24,86.11,67.06,400
58.2241,33.5536,67.07,17000
48.2311,41.5053,67.07,17000
53.0338,47.4528,67.07,8900
54.59,82.54,67.07,6310
54.22,81.54,67.07,600
57.3504,48.59,67.07,400
59.3,59.12,67.07,100
58.27,61.42,67.07,100
54.19,84.35,67.07,4
56.55,55.34,67.1,17000
66.05,60.08,67.1,17000
51.43,94.28,67.1,17000
44.3503,40.0638,67.1,17000
58.1837,45.3202,67.1,17000
65.26,52.09,67.1,17000
59.42,56.44,67.1,4000
47.1424,39.4413,67.1,2000
54.5,56.25,67.1,600
56.05,99.39,67.1,300
50.21,87.46,67.1,250
51.17,85.41,67.1,200
49.43,89.11,67.1,200
65.3045,44.5443,67.1,100
47.53,135.37,67.1,70
54.3023,37.0654,67.1,0
62.52,61.39,67.1,0
55.4145,60.3331,67.13,17000
55.0208,32.2252,67.13,17000
61.422,30.4425,67.13,17000
55.26,65.18,67.13,1000
54.12,82.46,67.13,3
55.31,79.43,67.13,1
52.3745,58.2232,67.16,17000
59.0734,37.5323,67.16,17000
52.43,81.36,67.16,17000
53.28,143,67.16,17000
55.31,45.2359,67.16,17000
56.5838,48.4348,67.16,1000
59.23,49.43,67.16,400
50.45,42,67.16,200
51.16,106.33,67.16,100
55.36,79.32,67.16,4
59.01,54.39,67.19,17000
52.2704,37.3008,67.19,17000
44.4856,37.3929,67.19,17000
62.4314,40.1734,67.19,17000
44.03,43.0518,67.19,15850
54.1408,49.3237,67.19,14120
45.01,41.51,67.19,4000
51.3306,45.5753,67.19,400
54.4638,42.1728,67.19,400
57.22,58.58,67.19,300
56.37,57.46,67.19,300
52.15,140.15,67.19,50
52.18,104.18,67.2,0
45.54,133.42,67.22,20000
53.58,123.58,67.22,20000
51.5,86,67.22,17000
68.5656,33.0705,67.22,17000
56.06,63.38,67.22,17000
55.4911,37.3642,67.22,15000
56.2939,84.5829,67.22,8000
58.1548,47.4745,67.22,4000
48.01,39.53,67.22,316
63.43,66.4,67.22,300
57.28,58.09,67.22,300
57.2213,46.2724,67.22,300
53.4,92.08,67.22,50
50.31,105.5,67.22,0
60.01,64.46,67.22,0
58.32,31.17,67.25,17000
56.2011,30.2833,67.25,17000
54.5251,58.3048,67.25,14450
55.3312,42.1216,67.25,300
50.1,107.24,67.25,50
55.58,84.25,67.25,3
55.55,76.4,67.25,3
54.53,52.2,67.25,0
50.32,104.5,67.27,50
58.36,125.23,67.28,17000
54.2742,79.3919,67.28,17000
46.1757,44.1155,67.28,17000
50.0736,45.242,67.28,17000
55.3,71.2,67.28,17000
55.3328,53.4126,67.28,4000
57.0135,40.5646,67.28,500
54.2654,46.1731,67.28,300
61.1515,75.102,67.28,300
57.23,59.58,67.28,120
57.39,103.17,67.28,100
52.4014,39.2859,67.31,17000
61.4052,40.1329,67.31,17000
53.2521,49.2638,67.31,17000
45.46,47.4,67.31,400
57.21,83.56,67.31,300
57.2436,45.0543,67.31,300
51.2,80.13,67.31,150
58.23,60.44,67.31,120
58.08,62.57,67.31,100
48,136.47,67.31,100
51.4,135.4,67.31,20
54.2428,43.4445,67.31,0
56.01,92.54,67.31,0
54.4651,32.023,67.31,0
55.1235,34.1807,67.34,17000
60.18,54.2,67.34,4000
55.2029,86.0843,67.34,4000
54.1818,59.2134,67.34,4000
52.18,104.18,67.34,2500
58.3725,27.5651,67.34,1000
43.2729,42.0553,67.34,400
55.0021,45.3253,67.34,300
43.5303,41.5821,67.34,200
59.1,61.51,67.34,100
50.51,82.25,67.34,0
51.41,83.16,67.34,0
43.19,45.38,67.37,17000
50.2601,40.5843,67.37,3000
51.5309,58.1328,67.37,700
58.4,62.46,67.37,300
53.36,92.53,67.37,200
52.503,34.3005,67.37,200
55.2431,43.5057,67.37,100
46.18,46.41,67.37,100
52.09,80.38,67.37,40
55.52,80.3,67.37,3
54.25,76.06,67.37,3
53.2713,36.5531,67.4,400
57.12,87.33,67.4,300
56.39,90.34,67.4,100
57.58,61.4,67.4,100
56.17,77.43,67.4,30
54.07,82.35,67.4,30
54.34,75.54,67.4,30
60.2,78.24,67.4,20
56.55,81.03,67.4,20
54.25,51.05,67.43,2000
57.26,56.57,67.43,400
52.3,80.12,67.43,200
63.13,66.56,67.43,100
56.4804,44.2837,67.43,100
56.35,78.2,67.43,3
50.57,81.47,67.43,0
59.5835,30.1915,67.45,60000
46.0327,38.5756,67.46,17000
54.3532,22.0049,67.46,17000
54.432,55.5529,67.46,8000
50.3431,36.345,67.46,4000
56.4936,60.3722,67.46,4000
44.063,40.5305,67.46,3000
55.0255,60.0822,67.46,400
47.03,142.03,67.46,300
54.0411,44.5928,67.46,300
61.55,63.01,67.46,200
54.22,92.08,67.46,200
61.41,96.23,67.46,120
66.19,70.23,67.46,100
64.17,100.15,67.46,100
54.49,105.2,67.46,100
55.08,80.37,67.46,4
50.37,104.36,67.46,0
61.06,80.16,67.46,0
50.37,105.19,67.46,0
54.25,110.25,67.46,0
59.5835,30.1915,67.46,0
52.41,111.42,67.46,0
50.28,105.06,67.46,0
52.41,84.59,67.46,0
65,53.55,67.49,400
57.45,85.11,67.49,100
51.23,79.48,67.49,100
56.38,78.35,67.49,3
54.5139,43.4825,67.51,300
55.3324,39.3455,67.52,17000
54.0619,77.4024,67.52,8000
52.4,90.04,67.52,300
52.22,140.27,67.52,300
57.34,79.27,67.52,200
55.03,84.47,67.52,120
54.22,81.1,67.52,20
58.49,65.58,67.52,0
53.2559,38.4002,67.52,0
64.12,69.02,67.52,0
44.4705,44.1059,67.55,4000
55.0911,61.2418,67.55,700
55.16,83.41,67.55,600
56.09,34.56,67.55,500
61.44,75.36,67.55,300
56.32,89.19,67.55,200
42.4857,44.1228,67.55,110
65.48,74.27,67.55,100
51.4,82.01,67.55,0
51.53,84.25,67.55,0
50.58,82.17,67.55,0
52.17,80.57,67.55,0
50.48,81.32,67.55,0
46.2137,48.0302,67.58,17000
54.4341,20.2938,67.58,17000
51.47,55.05,67.58,17000
58.01,56.14,67.58,17000
53.1315,34.1915,67.58,4000
50.1846,38.1102,67.58,3000
53.1124,44.5844,67.58,2512
57.4842,28.164,67.58,2000
47.1208,38.5608,67.58,600
55.4928,49.0149,67.58,400
45.0137,39.0001,67.58,400
43.44,135.18,67.58,300
50.37,105.04,67.58,0
56.2939,84.5829,67.61,4000
57.3137,62.4547,67.61,4000
53.1208,50.0952,67.61,1580
56.4639,46.5135,67.61,1000
55.51,32.17,67.61,1000
55.2557,37.4554,67.61,400
50.0214,43.1108,67.61,400
56.42,85.2,67.61,100
55.21,79.03,67.61,4
55.05,54.37,67.61,0
50.17,107.16,67.63,0
46.55,142.35,67.64,60000
60.3524,69.0224,67.64,8000
58.42,81.29,67.64,200
53.15,83.45,67.64,0
53.4144,91.3207,67.67,2000
59.57,57.37,67.67,2000
59.2255,28.3444,67.67,1700
56.2342,38.4247,67.67,500
44.38,41.57,67.67,400
54.28,38.43,67.67,400
54.253,42.511,67.67,300
54.58,84.34,67.67,3
42.5941,47.2817,67.7,20000
59.373,33.2522,67.7,17000
67.0856,32.2703,67.7,8000
53.2444,58.5648,67.7,4786
54.1908,48.2349,67.7,3630
51.37,39.12,67.7,3548
55.05,38.48,67.7,400
56.33,84.05,67.7,300
56.5457,47.5346,67.7,300
52.15,117.32,67.7,250
51.21,112.23,67.7,250
57.3005,60.1435,67.7,120
51.1603,108.5211,67.7,80
55.12,80.17,67.7,0
55.42,36.12,67.73,400
52.19,85.05,67.73,400
52.5,79.52,67.73,390
49.3,136.34,67.73,100
55.3,77.02,67.73,3
51.45,84.03,67.73,0
53.42,87.06,67.76,20000
60.41,60.25,67.76,17000
57.5747,38.2118,67.76,17000
64.0247,44.014,67.76,17000
45.2831,40.0644,67.76,17000
54.29,34.59,67.76,5000
44.065,39.0428,67.76,2240
53.11,55.11,67.76,600
58.5628,46.4516,67.76,500
67.39,53.03,67.76,400
57.08,103.55,67.76,300
53.13,92.51,67.76,50
53,91.31,67.76,50
59.39,67.25,67.76,0
50.51,82.09,67.76,0
63.22,63.03,67.76,0
60.4314,28.4618,67.79,17000
55.4246,52.2907,67.79,4000
58.19,82.54,67.79,3000
56.16,83.58,67.79,300
43.46,135.11,67.79,100
52.13,141.31,67.79,3
55.0845,36.3443,67.79,0
51.31,80.21,67.79,0
50.55,128.29,67.82,20000
53.23,55.52,67.82,17000
56.071,47.16,67.82,2000
50.4752,35.3833,67.82,400
56.02,35.31,67.82,400
43.1136,44.3304,67.82,100
54.1,102.59,67.82,100
51.25,135.05,67.82,3
52.46,140.1,67.82,3
47.22,135.37,67.82,3
47.07,135.36,67.82,3
57.22,102.09,67.82,0
56.29,65.19,67.82,0
48.55,136.15,67.82,0
52.08,83.2,67.85,20000
63.54,34.19,67.85,17000
55.12,56.41,67.85,4000
54.08,51.34,67.85,2000
53.3145,47.4104,67.85,2000
59.37,30.1,67.85,2000
54.3023,37.0654,67.85,400
62.12,54.11,67.85,400
55.1057,44.0648,67.85,300
59.3,59.12,67.85,120
49.5,142.5,67.85,100
60.22,92.38,67.85,50
53.1,103.05,67.88,20000
48.45,133,67.88,17000
54.5846,82.5313,67.88,17000
52.03,113.29,67.88,6000
44.3503,40.0638,67.88,4000
56.55,55.34,67.88,800
61.41,64.29,67.88,300
60.01,41.04,67.88,300
66.05,60.08,67.88,200
55.3,94.24,67.88,200
60.46,52.51,67.88,100
64.43,72.27,67.88,100
63.12,64.25,67.88,0
64,69.34,67.88,0
58.27,61.42,67.89,100
44.02,43.08,67.9,15850
57.4743,51.2417,67.91,1000
56.1236,51.0526,67.91,1000
60.59,40.12,67.91,400
53.52,34.27,67.91,400
47.2421,40.0214,67.91,200
52.3745,58.2232,67.94,17000
56.1758,44.0001,67.94,17000
56.1957,30.0056,67.94,17000
59.0734,37.5323,67.94,8000
67.5504,34.3548,67.94,100
59.33,60.33,67.94,100
52.28,46.37,67.94,0
61.4617,48.2822,67.94,0
54.0741,54.0758,67.97,17000
44.4856,37.3929,67.97,17000
52.2704,37.3008,67.97,4000
59.01,54.39,67.97,800
44.2501,39.3209,67.97,500
55.4734,37.533,68,40000
51.5317,50.1021,68,17000
63.33,53.46,68,17000
51.56,86.03,68,10470
46.0321,40.5308,68,2000
46.11,47.15,68,2000
51.43,107.31,68,2000
55.27,54.19,68,700
53.31,57.32,68,690
56.2939,84.5829,68,600
59.23,143.18,68,400
55.42,84.51,68,400
55.01,89.5,68,300
61.03,76.06,68,300
47.1424,39.4413,68,280
49.35,111.58,68,250
56.27,138.1,68,150
47.46,134.54,68,150
44.0011,40.0803,68,117
71.3312,52.2028,68,100
51.47,87.16,68,100
57.4,136.13,68,100
57.21,58.14,68,100
66.5,70.5,68,100
43.4419,145.3107,68,60
55.16,80.02,68,3
51.42,105.5,68,0
50.36,107.49,68,0
50.36,107.06,68,0
50.5,108.09,68,0
51.45,110.1,68,0
54.52,111.04,68,0
60.01,64.46,68,0
44.4652,41.2748,68,0
53.59,84.45,68,0
54.5251,58.3048,68.03,12600
56.3842,47.5245,68.03,6000
54.58,35.51,68.03,400
60.2223,44.1618,68.03,300
54.3336,42.2749,68.03,100
53.57,58.51,68.03,100
51.32,142.45,68.03,50
51.1,79.57,68.03,0
50.56,82.22,68.03,0
54.55,71.18,68.06,17000
56.5213,53.0303,68.06,17000
61.4631,34.1942,68.06,17000
55.5,32.56,68.06,1000
54.2742,79.3919,68.06,500
57.47,36.42,68.06,400
50.0736,45.242,68.06,400
48.34,142.12,68.06,50
57.56,55.53,68.06,30
57.51,61.46,68.06,0
43.0926,44.0932,68.06,0
53.44,84.02,68.06,0
56.01,92.54,68.09,20000
52.4014,39.2859,68.09,17000
53.2521,49.2638,68.09,4000
53.1124,44.5844,68.09,2500
58.52,57.36,68.09,1000
57.12,83.56,68.09,300
51.31,110.22,68.09,250
52.19,135.5,68.09,100
57.35,58.15,68.09,100
51.2,139.15,68.09,0
55.2029,86.0843,68.12,17000
56.31,104.14,68.12,17000
58.37,59.51,68.12,1500
55.5925,61.3843,68.12,1250
56.1751,28.2923,68.12,500
54.43,135.19,68.12,300
43.5303,41.5821,68.12,300
51.3,81.1,68.12,300
49.592,88.392,68.12,250
52.48,83.13,68.12,200
61.27,68.56,68.12,100
65.24,64.4159,68.12,100
54.53,52.2,68.12,0
59.49,68.49,68.12,0
58.49,65.58,68.12,0
43.2513,45.4543,68.15,3162
45.0226,38.5811,68.15,780
53.4122,91.3907,68.15,500
53,78.4,68.15,400
55.1235,34.1807,68.15,316
57.2,59.15,68.15,300
50.59,81.3,68.15,300
57.36,82.19,68.15,300
56.18,83.26,68.15,200
52.55,36.09,68.15,191
53.43,84.56,68.15,100
51.09,82.13,68.15,100
52.4413,52.1559,68.18,17000
58.3725,27.5651,68.18,17000
54.4659,38.5422,68.18,17000
69.1,88.2,68.18,400
54.55,99.04,68.18,300
55.54,107.48,68.18,300
65.27,73.31,68.18,100
53.54,82.07,68.18,3
58.33,63.01,68.18,0
53.024,60.4013,68.21,17000
68.5656,33.0705,68.21,4000
56.26,55.35,68.21,3000
45.2654,40.341,68.21,400
56.07,94.35,68.21,200
44.1631,42.1412,68.21,100
53.46,136.5,68.21,100
56.37,78.18,68.21,3
50.23,106.06,68.23,50
53.44,127.5,68.24,20000
51.2207,42.0247,68.24,17000
56.4008,124.3853,68.24,17000
54.1112,45.085,68.24,17000
54.432,55.5529,68.24,17000
