,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,25.319444444444443,51.52777777777778,50.006,10
1,25.583333333333336,51.49444444444445,88.0,250
2,25.312222222222225,51.50305555555555,88.4,20000
3,25.28333333333334,51.53333333333333,89.6,0
4,25.584999999999997,51.11416666666667,90.8,40000
5,25.312222222222225,51.50305555555555,91.7,5000
6,25.312222222222225,51.50305555555555,92.0,10000
7,25.312222222222225,51.50305555555555,92.4,20000
8,25.584999999999997,51.11416666666667,92.6,20000
9,24.991666666666667,51.5611111111111,93.4,1000
10,24.677777777777774,51.27777777777777,93.4,500
11,25.311111111111114,50.79444444444444,93.6,20000
12,25.40333333333333,51.476388888888884,93.7,5000
13,25.319444444444443,51.52777777777778,93.7,0
14,25.311111111111114,50.79444444444444,94.0,20000
15,25.312222222222225,51.50305555555555,94.0,0
16,25.312222222222225,51.50305555555555,94.3,0
17,25.40333333333333,51.476388888888884,94.6,20000
18,25.28333333333334,51.53333333333333,95.3,10000
19,25.40333333333333,51.476388888888884,95.4,20000
20,25.312222222222225,51.50305555555555,96.0,10000
21,25.40333333333333,51.476388888888884,96.2,20000
22,25.33555555555556,51.513055555555546,96.6,20000
23,25.28333333333334,51.53333333333333,97.0,20000
24,25.583333333333336,51.49444444444445,97.0,20000
25,25.40333333333333,51.476388888888884,97.5,10000
26,25.28333333333334,51.53333333333333,98.0,20000
27,25.28333333333334,51.53333333333333,98.3,0
28,25.28333333333334,51.53333333333333,98.6,10000
29,25.083333333333336,51.611111111111114,99.0,100000
30,25.194444444444443,51.511111111111106,99.6,20000
31,25.28333333333334,51.53333333333333,99.9,0
32,25.194444444444443,51.511111111111106,100.3,20000
33,26.050000000000004,51.09444444444444,100.6,20000
34,25.584999999999997,51.11416666666667,100.8,40000
35,25.312222222222225,51.50305555555555,101.7,0
36,25.33555555555556,51.513055555555546,102.0,100000
37,25.584999999999997,51.11416666666667,102.6,20000
38,25.40333333333333,51.476388888888884,102.6,20000
39,24.677777777777774,51.27777777777777,103.4,500
40,25.28333333333334,51.53333333333333,103.7,0
41,25.423888888888893,50.78638888888889,103.9,20000
42,26.125,51.2111111111111,104.0,0
43,25.312222222222225,51.50305555555555,104.0,0
44,25.40333333333333,51.476388888888884,104.6,20000
45,25.500000000000004,51.261111111111106,105.1,0
46,25.28333333333334,51.53333333333333,105.2,1000
47,25.28333333333334,51.53333333333333,105.7,20000
48,26.125,51.2111111111111,106.0,1000
49,25.28333333333334,51.53333333333333,106.3,0
50,25.28888888888889,51.53194444444444,106.6,10000
51,24.677777777777774,51.27777777777777,106.8,100000
52,25.40333333333333,51.476388888888884,107.0,5000
53,25.335833333333333,51.51277777777778,107.4,10000
54,25.14444444444444,51.31944444444446,107.5,112
55,25.312222222222225,51.50305555555555,107.7,10000
